start_record,end_record,start_global_step,end_global_step,loss_mean,loss_min,loss_max,batch_time_mean,num_records
0,1583,0,396,9.368467171717171,7.136,12.17,0.7542127525252525,1584
1584,3167,396,792,6.68102398989899,5.888,7.773,0.7499229797979798,1584
3168,4751,792,1188,5.883717171717172,5.289,6.665,0.7528055555555555,1584
4752,6335,1188,1584,5.379640782828282,4.838,6.598,0.7500113636363637,1584
6336,7919,1584,1980,4.985708333333333,4.261,5.654,0.7501660353535353,1584
7920,9503,1980,2376,4.676034722222222,4.192,5.341,0.7543011363636364,1584
9504,11087,2376,2772,4.4691287878787875,3.947,5.116,0.7500858585858586,1584
11088,12671,2772,3168,4.319667297979798,3.836,4.952,0.7516155303030303,1584
12672,14255,3168,3564,4.212457070707071,3.802,4.871,0.7500397727272727,1584
14256,15839,3564,3960,4.113015151515151,3.679,4.654,0.7515871212121212,1584
15840,17423,3960,4356,4.038870580808081,3.515,4.702,0.7518535353535354,1584
17424,19007,4356,4752,3.9765157828282827,3.417,4.626,0.7498529040404041,1584
19008,20591,4752,5148,3.9265309343434343,3.242,4.534,0.753989898989899,1584
20592,22175,5148,5544,3.8806445707070707,3.366,4.649,0.7495176767676768,1584
22176,23759,5544,5940,3.837148358585859,3.359,4.507,0.7500252525252525,1584
23760,25343,5940,6336,3.8057386363636363,3.318,4.448,0.7525902777777778,1584
25344,26927,6336,6732,3.7621729797979797,3.226,4.254,0.7501982323232324,1584
26928,28511,6732,7128,3.738607323232323,3.234,4.235,0.7516363636363637,1584
28512,30095,7128,7524,3.7146603535353537,3.258,4.42,0.7503421717171718,1584
30096,31679,7524,7920,3.6835757575757575,3.118,4.252,0.7535801767676767,1584
31680,33263,7920,8316,3.6657569444444444,3.176,4.281,0.7519640151515151,1584
33264,34847,8316,8712,3.6435063131313132,3.064,4.159,0.7503276515151515,1584
34848,36431,8712,9108,3.6230486111111113,3.065,4.188,0.754167297979798,1584
36432,38015,9108,9504,3.6102386363636363,2.919,4.128,0.7502714646464647,1584
38016,39599,9504,9900,3.592880681818182,3.095,4.257,0.7502474747474748,1584
39600,41183,9900,10296,3.5761085858585857,3.115,4.208,0.7532127525252525,1584
41184,42767,10296,10692,3.560655303030303,3.067,4.15,0.7501938131313132,1584
42768,44351,10692,11088,3.5422506313131312,3.072,4.06,0.7519974747474747,1584
44352,45935,11088,11484,3.5343194444444443,2.995,4.095,0.7502746212121212,1584
45936,47519,11484,11880,3.52373547979798,3.073,4.158,0.7514627525252525,1584
47520,49103,11880,12276,3.5037986111111112,2.996,4.32,0.7519236111111111,1584
49104,50687,12276,12672,3.495503787878788,3.061,4.14,0.7503150252525252,1584
50688,52271,12672,13068,3.4859627525252526,2.768,4.144,0.7541224747474747,1584
52272,53855,13068,13464,3.476941287878788,2.972,4.06,0.7499892676767677,1584
53856,55439,13464,13860,3.4679772727272726,2.997,4.074,0.7502279040404041,1584
55440,57023,13860,14256,3.450653409090909,2.934,3.954,0.7529804292929293,1584
57024,58607,14256,14652,3.4429103535353534,2.87,4.014,0.7504217171717171,1584
58608,60191,14652,15048,3.4403200757575756,2.994,4.221,0.7516856060606061,1584
60192,61775,15048,15444,3.4343276515151513,2.892,4.095,0.7502449494949495,1584
61776,63359,15444,15840,3.417798611111111,2.87,4.057,0.7526205808080808,1584
63360,64943,15840,16236,3.4109911616161614,2.937,3.891,0.7520536616161616,1584
64944,66527,16236,16632,3.3996174242424244,2.909,3.949,0.7503522727272727,1584
66528,68111,16632,17028,3.398458333333333,2.977,3.971,0.7536357323232323,1584
68112,69695,17028,17424,3.388434974747475,2.9,3.901,0.7502859848484849,1584
69696,71279,17424,17820,3.3858819444444443,2.897,3.977,0.7502108585858586,1584
71280,72863,17820,18216,3.377499368686869,2.889,3.947,0.7539078282828283,1584
72864,74447,18216,18612,3.373104166666667,2.849,4.055,0.750020202020202,1584
74448,76031,18612,19008,3.3634141414141414,2.775,3.93,0.7519438131313131,1584
76032,77615,19008,19404,3.3515530303030303,2.867,3.899,0.7504425505050505,1584
77616,79199,19404,19800,3.3559261363636366,2.83,3.889,0.7540940656565657,1584
79200,80783,19800,20196,3.348911616161616,2.863,3.843,0.7520113636363637,1584
80784,82367,20196,20592,3.3484343434343433,2.857,3.982,0.7502676767676768,1584
82368,83951,20592,20988,3.3374078282828283,2.885,3.842,0.7533863636363637,1584
83952,85535,20988,21384,3.3310018939393937,2.761,3.878,0.751935606060606,1584
85536,87119,21384,21780,3.32439898989899,2.855,3.845,0.7503762626262627,1584
87120,88703,21780,22176,3.3238857323232325,2.838,3.987,0.7530492424242424,1584
88704,90287,22176,22572,3.320570707070707,2.812,3.947,0.7498478535353535,1584
90288,91871,22572,22968,3.315529671717172,2.736,3.973,0.7501300505050505,1584
91872,93455,22968,23364,3.311712121212121,2.913,3.807,0.7529703282828283,1584
93456,95039,23364,23760,3.3048686868686867,2.82,3.937,0.7504880050505051,1584
95040,96623,23760,24156,3.301185606060606,2.761,3.996,0.7521111111111111,1584
96624,98207,24156,24552,3.299676136363636,2.691,3.892,0.750354797979798,1584
98208,99791,24552,24948,3.2951016414141416,2.836,3.94,0.7545056818181818,1584
99792,101375,24948,25344,3.2889450757575758,2.816,3.839,0.7520353535353536,1584
101376,102959,25344,25740,3.2892683080808083,2.859,3.804,0.7503377525252525,1584
102960,104543,25740,26136,3.282717171717172,2.867,3.874,0.7541439393939394,1584
104544,106127,26136,26532,3.2813863636363636,2.793,3.81,0.7502493686868686,1584
106128,107711,26532,26928,3.2826792929292927,2.765,3.838,0.7502866161616162,1584
107712,109295,26928,27324,3.2769330808080808,2.75,3.827,0.7530473484848484,1584
109296,110879,27324,27720,3.268247474747475,2.635,3.995,0.7503655303030303,1584
110880,112463,27720,28116,3.2640953282828282,2.789,3.729,0.7519412878787879,1584
112464,114047,28116,28512,3.2604772727272726,2.754,3.785,0.7501906565656565,1584
114048,115631,28512,28908,3.2603832070707073,2.832,3.875,0.7523137626262626,1584
115632,117215,28908,29304,3.2564198232323234,2.72,3.722,0.7519671717171718,1584
117216,118799,29304,29700,3.2521824494949496,2.798,3.751,0.7503042929292929,1584
118800,120383,29700,30096,3.250679292929293,2.769,3.787,0.7549040404040404,1584
120384,121967,30096,30492,3.243604797979798,2.732,3.867,0.7501376262626263,1584
121968,123551,30492,30888,3.246448232323232,2.64,3.831,0.7502127525252525,1584
123552,125135,30888,31284,3.2391193181818183,2.805,3.73,0.7529804292929293,1584
125136,126719,31284,31680,3.2435397727272726,2.605,3.758,0.7523402777777778,1584
126720,128303,31680,32076,3.229657196969697,2.778,3.851,0.7517152777777778,1584
128304,129887,32076,32472,3.2349848484848485,2.741,3.834,0.7500132575757575,1584
129888,131471,32472,32868,3.2357771464646463,2.715,3.729,0.7510536616161616,1584
131472,133055,32868,33264,3.2323945707070707,2.808,3.732,0.752020202020202,1584
133056,134639,33264,33660,3.2268585858585856,2.667,3.823,0.7500044191919192,1584
134640,136223,33660,34056,3.2225239898989897,2.733,3.78,0.7530063131313132,1584
136224,137807,34056,34452,3.223911616161616,2.749,3.821,0.7501881313131313,1584
137808,139391,34452,34848,3.2126098484848487,2.741,3.759,0.7503901515151515,1584
139392,140975,34848,35244,3.2225334595959594,2.785,3.837,0.7519469696969697,1584
140976,142559,35244,35640,3.2153270202020203,2.726,3.739,0.7539135101010102,1584
142560,144143,35640,36036,3.205983585858586,2.638,3.773,0.7519450757575757,1584
144144,145727,36036,36432,3.204804924242424,2.769,3.67,0.7504021464646464,1584
145728,147311,36432,36828,3.2131130050505052,2.664,3.77,0.7533598484848485,1584
147312,148895,36828,37224,3.210129419191919,2.732,3.805,0.7517619949494949,1584
148896,150479,37224,37620,3.204714015151515,2.659,3.841,0.7503989898989899,1584
150480,152063,37620,38016,3.197834595959596,2.652,3.712,0.7527878787878788,1584
152064,153647,38016,38412,3.2002291666666665,2.722,3.723,0.7503472222222223,1584
153648,155231,38412,38808,3.2068838383838383,2.659,3.678,0.750352904040404,1584
155232,156815,38808,39204,3.192013888888889,2.702,3.892,0.752653409090909,1584
156816,158399,39204,39600,3.1922234848484847,2.729,3.709,0.7523118686868687,1584
158400,158445,39600,39611,3.190195652173913,2.947,3.417,0.7500217391304348,46
